,PSZ,SURP,DATE,HQ,ENGNAME,RUSNAME,TYPE,NEWDEV,FUNC1,FUNC2,FUNC3,CAP,RUBLE,STCAP,SHARES,PRICE,STPRICE,BONDS,LOC2,LOC3,YEAR,MONTH,DAY,ID,NEWENT,PROP,MAN,STAFF,SALE,OWN,PAI,AKTS,NEWFIRM,EXISTFIRM,EXISTFIRMNEWFUNC,NOBONDS,BONDSOK,BONDSWLIMIT,NOPROPRES,LANDLIMIT,PERMNEEDED,LANDBAN,NOMANRES,MANRESTYPE,NOSTAFFRES,LIMTRAINING,NOSALERES,TOBEARER,NAMEDINFORMED,NAMEDINFOFF,NOOWNRES,OWNRIGHTS,NOFOROWN,CHRISOWN,CROPS,LIVESTOCK,AGSERVICES,FORESTRY,FISHING,AG,MINING,CONSTRUCTION,MANUFACTURING,TRANSPORTATION,WHOLESALE,RETAIL,FINANCE,SERVICES,PUBADMIN,NONCLASS,INDUSTRY,MANUFOODS,MANUTEXTILES,MANUWOOD,MANUPAPER,MANUCHEMICALS,MANUANIMAL,MANUMINERAL,MANUMETALS,MANUMISC,ManufacturingIndustry,FOODSFLOUR,FOODSBEETSUGAR,FOODSMALTBEVS,MOSCOW,STPETE,PROV,HQCODE,HQProvince,MOSCOWProv,HQRegion,LOC1,OPProvince,OPRegion
20,1-10694,999999,1757-02-24,Moscow,Constantinople Trade Co.,Rossiiskaia v Konstantinopol' torguiushchaia ko.,5,1,5159,5000.0,,100.0,9,0,200.0,500.0,0,0.0,9701.0,,1757,2,24,21.0,1.0,0,0,0,0,5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Wholesale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,9002,.,South
21,1-10848,999999,1758-06-15,TBST,Persian Trade Co. (1758) [cf. 2-11036!,Ko. Persidskogo torga,5,1,5100,,,600.0,9,0,4000.0,150.0,0,0.0,,,1758,6,15,22.0,1.0,0,0,0,0,5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Wholesale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,.,.,0.0,.,9705,Outside Russia,Foreign
22,1-11046,999999,1760-03-30,[Astrakhan!,Vorontsov Trading Co.,Torgovaia ko. Grafa Vorontsova na Kaspiiskom more,9,1,5100,,,,9,0,,,0,0.0,8200.0,,1760,3,30,23.0,1.0,0,0,0,0,0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Wholesale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0201,Astrakhanskaia,0.0,Volga-Ural,9004,.,Caucasus
23,1-11938,999999,1763-09-29,[St. Petersburg,g!         Mediterranean Trade Co.,Ko. dlia torgovli na Sredizemnom more,5,1,5100,,,100.0,9,0,200.0,500.0,0,0.0,9701.0,,1763,9,29,24.0,1.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Wholesale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,9001,.,Baltic
24,1-12904,999999,1767-06-01,Nizhnii Novgoro,od         Nizhnii Novgorod Grain Co.,Nizhegorodskaia torgovaia ko.,5,1,5153,,,,9,0,,25.0,0,0.0,,,1767,6,1,25.0,1.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Wholesale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2501,Nizhegorodskaia,0.0,Volga-Ural,2501,Nizhegorodskaia,Volga-Ural
25,1-13886,999999,1772-10-18,[Voronezh!,Voronezh Grain Co.,Voronezhskaia torgovaia ko.,5,1,5153,,,,9,0,,500.0,0,0.0,1207.0,,1772,10,18,26.0,1.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Wholesale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0901,Voronezhskaia,0.0,Center,0901,Voronezhskaia,Center
26,1-15000,999999,1782-99-99,XXXX,Ship Construction Co.,Aktsionernaia dlia stroeniia korablei ko.,9,9,3731,,,,9,0,,,0,9.0,,,1782,99,99,27.0,0.0,9,9,9,9,9,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MANUMETALS,0.0,0.0,0.0,0.0,0.0,1.0,.,.,0.0,.,9999,.,.
27,1-18131,999999,1797-09-08,Irkutsk,"American Co. (hunting, fishing) [Russian-American",Kommercheskaia Amerikanskaia ko.  [Rossiisko-Amerikanskaia ko. 1799!,9,1,912,971.0,,723.0,4,509,723.0,1000.0,704,0.0,9008.0,,1797,9,8,28.0,1.0,0,0,0,0,0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,7501,Irkutskaia,0.0,Siberia,8000,Yakutskaia,Siberia
28,1-19516,999999,1800-08-17,St. Petersburg,Commercial Insurance Co.,Torgovaia strakhovaia kontora,5,1,6331,,,1000.0,9,1000,,,0,0.0,,,1800,8,17,29.0,1.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,3701,Peterburgskaia,North
29,1-20893,999999,1803-08-14,St. Petersburg,White Sea Whaling and Fishing Co. (1803)[cf.1-019,Belomorskaia torgovaia ko.,5,1,912,2077.0,971.0,,9,0,,250.0,250,0.0,9013.0,110.0,1803,8,14,30.0,1.0,0,0,0,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,9014,.,North
